word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,rmse_v,rmse_a,rmse_d,vad_variance
rest,0.15540199724716489,-0.24544384046616932,0.010456175309291705,0.1338545278280441,-0.23020842681108863,0.006548424991082591,0.01356354446413686,0.015402183613142084,0.02154746941912078,0.015235413655080687,0.003907750318209114,0.02154746941912078,0.015235413655080687,0.003907750318209114,0.021749710642109295
far,0.3616218206304105,-0.08158276935355721,0.24727068485294026,0.375324434286771,-0.0730516492415628,0.2576690170969461,0.01087735533745359,0.01108553028106887,0.013702613656360496,0.008531120111994417,0.010398332244005853,0.013702613656360496,0.008531120111994417,0.010398332244005853,0.03654301992142604
shine,0.5332331504983658,-0.11017501259960363,0.28200407098377356,0.5156852522767944,-0.12457252196430257,0.2640835108872447,0.01662198922759975,0.016696940658640896,0.017547898221571434,0.01439750936469894,0.01792056009652887,0.017547898221571434,0.01439750936469894,0.01792056009652887,0.07893287198829303
corpse,-0.02930953085914903,-0.15830107492320694,-0.06991025962508238,-0.029105942108250796,-0.16091269168534847,-0.06796024201424863,0.0015884077079578347,0.00188543179619883,0.00020358875089823356,0.0026116167621415276,0.001950017610833743,0.00020358875089823356,0.0026116167621415276,0.001950017610833743,0.0029979720387478923
smith,0.2613789344087972,0.03141267812401385,0.2231348098277917,0.2622424452726091,0.031070034728121764,0.22408489931511166,0.0007187479156746333,0.0007671865358971181,0.0008635108638118671,0.0003426433958920831,0.0009500894873199495,0.0008635108638118671,0.0003426433958920831,0.0009500894873199495,0.010364726459611914
record,0.24442447144193888,-0.14283475944674118,0.0675399259299045,0.2430321247944016,-0.14810759734784482,0.06422120273583345,0.0033279692475706585,0.003685800336294615,0.0013923466475372903,0.005272837901103639,0.0033187231940710465,0.0013923466475372903,0.005272837901103639,0.0033187231940710465,0.02754232693158518
control,0.2623916391253673,0.020023693295554125,0.30150767229988623,0.2620462681868972,0.027142637135188226,0.2994388710218577,0.0031777053520442486,0.004284801870369916,0.0003453709384700909,0.007118943839634101,0.0020688012780285536,0.0003453709384700909,0.007118943839634101,0.0020688012780285536,0.017064703182808512
maintenance,0.21781449779458134,-0.1406142030704488,0.21966860932883361,0.21987668918472308,-0.14065421935824907,0.22033457901560677,0.0009227257882383858,0.0012513659545425795,0.0020621913901417432,4.0016287800259676e-05,0.0006659696867731546,0.0020621913901417432,4.0016287800259676e-05,0.0006659696867731546,0.030382717934004846
any,0.11927446080299468,-0.1027727906383675,0.20438402749618037,0.12699315852174745,-0.09056410130605377,0.2189739876209721,0.011505782391952735,0.011853231994262753,0.007718697718752762,0.012208689332313727,0.014589960124791718,0.007718697718752762,0.012208689332313727,0.014589960124791718,0.017468995211673135
honey,0.29934077945600684,-0.03738774432073236,0.09693914967243351,0.3121371074500518,-0.041690034021384534,0.14667768539755952,0.022279051139941042,0.029755546501894128,0.012796327994044954,0.004302289700652176,0.049738535725126,0.012796327994044954,0.004302289700652176,0.049738535725126,0.019722871565319402
chain,0.08403418491639726,-0.23022238845663606,-0.03631868706763312,0.08737089690450921,-0.24726340899789356,-0.03168268691868058,0.008337910892773996,0.010376616747287432,0.0033367119881119456,0.0170410205412575,0.004636000148952539,0.0033367119881119456,0.0170410205412575,0.004636000148952539,0.017491802326750943
dig,0.06343048293362226,0.016313547253120966,0.12009422818405066,0.10979555647625462,-0.06658113977364838,0.10111264825684896,0.049413780165534466,0.05592122303864159,0.04636507354263236,0.08289468702676935,0.018981579927201703,0.04636507354263236,0.08289468702676935,0.018981579927201703,0.00885889758379359
congressional,0.2860996473068689,-0.12679457166049446,0.3392578535629024,0.2821989666097284,-0.12550867614879777,0.3469337760994579,0.004287499581797573,0.005026218723031168,0.0039006806971405017,0.0012858955116966941,0.007675922536555524,0.0039006806971405017,0.0012858955116966941,0.007675922536555524,0.043954544732156826
close,0.0436693893612383,-0.21132354460737207,0.02661976803789234,0.03609716042683724,-0.203171914676505,0.030747099477899578,0.006617063435091788,0.0068513401701287766,0.007572228934401057,0.008151629930867071,0.004127331440007237,0.007572228934401057,0.008151629930867071,0.004127331440007237,0.010072993073946367
magic,0.32984108573701104,0.32174083904393036,0.3003999068377978,0.3843818177388595,0.3502099932031314,0.3450748832123476,0.042561620845199745,0.04389775127082019,0.054540732001848446,0.028469154159201038,0.04467497637454976,0.054540732001848446,0.028469154159201038,0.04467497637454976,0.00028002054356010114
allowance,0.2742371192477368,-0.07143947239605099,0.14154322146212006,0.28822393401305,-0.08168427966854838,0.14315198373758023,0.008613461437756926,0.010052780368116127,0.013986814765313216,0.010244807272497394,0.0016087622754601683,0.013986814765313216,0.010244807272497394,0.0016087622754601683,0.03399627671993982
tip,0.13162188673460837,-0.14050167627741778,-0.05758563242425976,0.08146250470374898,-0.11753041158736674,-0.07154038720217058,0.029028467166273747,0.03285512536418892,0.05015938203085939,0.022971264690051035,0.013954754777910826,0.05015938203085939,0.022971264690051035,0.013954754777910826,0.006696548826402945
drama,0.3814240960352647,0.2429526355083828,0.07563236613837072,0.38377385451179585,0.26660627768961637,0.09014320731359186,0.013504747277661941,0.01607877135592512,0.0023497584765311275,0.02365364218123356,0.01451084117522114,0.0023497584765311275,0.02365364218123356,0.01451084117522114,0.01412196910054776
throne,0.2912810498439555,-0.32431863626106555,0.196631811007077,0.29055120727930944,-0.32190880081725753,0.19642320016229228,0.0011160962844129207,0.0014587089634289943,0.0007298425646460327,0.002409835443808017,0.00020861084478471237,0.0007298425646460327,0.002409835443808017,0.00020861084478471237,0.07200323295448935
mortal,0.13632741197363707,-0.019115776185837787,0.17608046517737427,0.07821430668352576,-0.0062755079721149715,0.16294988060591978,0.028027986025096208,0.03518720290791347,0.05811310529011131,0.012840268213722816,0.013130584571454496,0.05811310529011131,0.012840268213722816,0.013130584571454496,0.0057212244566102995
treatment,-0.08169665063294959,-0.0891628250923128,-0.16209034069314754,-0.05243091610507545,-0.10705312691359214,-0.14906488844784044,0.02006049619815353,0.021183393833435125,0.029265734527874142,0.017890301821279347,0.013025452245307101,0.029265734527874142,0.017890301821279347,0.013025452245307101,0.008125798497728404
whole,0.2291063900811115,-0.17480395930547038,0.2046189280012419,0.18441608942629764,-0.1233398328532241,0.16902674698599285,0.04391553604076973,0.04439437889918312,0.04469030065481386,0.05146412645224628,0.03559218101524905,0.04469030065481386,0.05146412645224628,0.03559218101524905,0.010702715828986478
mile,0.2494143324708355,-0.40209881947666115,-0.03314542022267157,0.2492324468309338,-0.4022897827750956,-0.03333284790430127,0.000186758873321947,0.00018679623764278222,0.0001818856399017077,0.00019096329843443227,0.00018742768162970103,0.0001818856399017077,0.00019096329843443227,0.00018742768162970103,0.07111521898430818
magnificent,0.5800499712287382,0.20266350722350035,0.4989149979729145,0.6351256184280392,0.16119130056585163,0.4830539384428366,0.03746963779567584,0.04084460000576682,0.055075647199300914,0.041472206657648725,0.01586105953007788,0.055075647199300914,0.041472206657648725,0.01586105953007788,0.03377789493048731
ruling,0.1590375353757159,0.13204049436907683,0.46178924734361604,0.16602711956543914,0.14707527915495616,0.49710578111181636,0.019113634247934292,0.022525219925699363,0.00698958418972323,0.01503478478587933,0.03531653376820032,0.00698958418972323,0.01503478478587933,0.03531653376820032,0.028783349293623205
vivid,0.47721740396762813,0.16319636833484763,0.4250253001756934,0.4765653713048882,0.170777170599277,0.4199408005541728,0.0044391115162299615,0.005283491458208925,0.0006520326627399431,0.007580802264429365,0.005084499621520577,0.0006520326627399431,0.007580802264429365,0.005084499621520577,0.017729677632621416
in,0.16221132760121976,-0.17805121507226862,0.10857314849233338,0.1859261572953,-0.16661999968370675,0.12427646307628501,0.016949786555531244,0.01769802175010408,0.02371482969408023,0.011431215388561872,0.015703314583951633,0.02371482969408023,0.011431215388561872,0.015703314583951633,0.02476712074211257
thrust,-0.007399727791968607,0.30050832499295843,0.17373252470071013,-0.01877803305625904,0.30261024168021133,0.17147573482868406,0.005245670607856468,0.006806295736889756,0.011378305264290432,0.0021019166872529027,0.0022567898720260715,0.011378305264290432,0.0021019166872529027,0.0022567898720260715,0.016872359462393568
slightly,0.1880482062597567,-0.11789033412645018,-0.13284523519147645,0.19053505597432252,-0.11897571459590771,-0.12979608305069176,0.0022071274416026743,0.00235653708111201,0.0024868497145658086,0.0010853804694575253,0.003049152140784689,0.0024868497145658086,0.0010853804694575253,0.003049152140784689,0.022446422582031767
reduction,0.08442139813809912,-0.12183295320964482,0.014407330950078798,0.08224539796043824,-0.1383256333913165,0.020035774593713283,0.00809904133432235,0.01013940915763267,0.0021760001776608834,0.016492680181671687,0.005628443643634485,0.0021760001776608834,0.016492680181671687,0.005628443643634485,0.008360143863431107
throw,0.17481570931183493,-0.039694679440931815,0.10515837435985838,0.1795326856504561,-0.057204266633338066,0.10503822604406811,0.00744890394893923,0.010469796958320574,0.0047169763386211705,0.01750958719240625,0.00012014831579026941,0.0047169763386211705,0.01750958719240625,0.00012014831579026941,0.013533883500149798
agricultural,0.35675385178663416,-0.28143621356446236,-0.06438013076833159,0.35783884787898934,-0.2780298887658646,-0.06021196622862045,0.002886495143554694,0.0031703764647159,0.0010849960923551838,0.0034063247985977596,0.004168164539711139,0.0010849960923551838,0.0034063247985977596,0.004168164539711139,0.06880546741072155
eighth,0.01393694583093016,-0.43853447383203503,-0.1525127776743822,0.01750690943983629,-0.4314213594645071,-0.15749572056508743,0.005222006955713093,0.005421277709989163,0.0035699636089061293,0.0071131143675279285,0.004982942890705222,0.0035699636089061293,0.0071131143675279285,0.004982942890705222,0.03310608838843681
hen,0.2116435290392692,-0.25397066016340974,-0.18816509886619315,0.20966238280393737,-0.25724086413023906,-0.1924792944273504,0.0031885152544394633,0.0033282356552355964,0.0019811462353318265,0.0032702039668293104,0.0043141955611572524,0.0019811462353318265,0.0032702039668293104,0.0043141955611572524,0.04245223488663564
personally,0.3309311778868112,-0.15651852002890373,0.18095412753812126,0.3444666785623005,-0.14742425798028125,0.18318163925282716,0.008285758146272562,0.009502231127202684,0.01353550067548931,0.009094262048622487,0.002227511714705893,0.01353550067548931,0.009094262048622487,0.002227511714705893,0.042890519289886804
fate,0.3254748367454748,-0.06351815850682743,0.3091568782545348,0.32253017826528607,-0.06258302558423301,0.3046016561616208,0.002811671165232371,0.0031778155738200046,0.002944658480188711,0.0009351329225944227,0.00455522209291398,0.002944658480188711,0.0009351329225944227,0.00455522209291398,0.03270464454118134
confident,0.5238151987941043,-0.14134544676714902,0.26716381883222007,0.48349359608099196,-0.1347571903475928,0.23812260536279006,0.025317024200699534,0.028940334297659707,0.04032160271311236,0.006588256419556238,0.029041213469430005,0.04032160271311236,0.006588256419556238,0.029041213469430005,0.0622736972036451
penny,0.2920766985214769,-0.27172264734334395,-0.04184365662290876,0.29050515500994883,-0.2719559194260479,-0.04124235171414633,0.0008020401676648142,0.0009807705247230796,0.0015715435115280507,0.00023327208270396138,0.0006013049087624303,0.0015715435115280507,0.00023327208270396138,0.0006013049087624303,0.04826206239523104
salt,0.2702281937124192,-0.2557782272754554,-0.04856482925325694,0.22216083682676588,-0.2591287620699799,-0.09199664342512105,0.03161656861734732,0.03745227791755537,0.048067356885653306,0.003350534794524518,0.04343181417186411,0.048067356885653306,0.003350534794524518,0.04343181417186411,0.03754671243900891
